age,contract_type,monthly_income,credit_duration_months,loan_amount,loan_remaining,savings,assets_value,default
56,CDI,1532.244205727114,37,20453.61793074917,8289.45404396319,9528.871879897033,0.0,1
46,Indépendant,2979.9429839969634,37,21452.577094352797,8858.173379827856,8946.413136109999,29191.62008980298,0
32,CDI,3724.600665874958,9,16026.334468005423,10886.116117828762,3028.6565673782675,793.2693489807134,1
60,CDD,3475.0094813578535,23,13688.519939050837,8429.263658647844,6013.060994234416,16587.878417922344,0
25,Indépendant,2329.2457032558336,54,16867.405938660802,11020.476975890235,5333.979495518933,1053.347177695443,1
38,CDD,3692.5809094799615,24,11456.074598767304,18018.466721086275,8553.24638397222,32393.134904958264,0
56,CDI,2618.9339657616893,48,17169.40425450116,11206.057275508036,6148.403594904052,41904.07204889392,0
36,CDI,2230.3312231055684,57,1866.0687132464464,11909.261204205874,4931.543717808955,36146.07949153638,0
40,CDI,2009.2778691672481,40,15214.661226072065,7481.874369110264,3374.9431931129584,16047.262958136418,0
28,Sans emploi,2258.0242508094975,45,21723.380600510663,2458.971641970791,6022.603535377481,20859.078651061085,1
28,Indépendant,2189.458545167017,19,15471.542894644828,0.0,3955.452287112139,34084.090291284585,0
41,Sans emploi,2636.3329779003902,38,23637.41369015494,5925.277671457128,5662.054835389524,16516.140147916194,1
53,CDI,2628.459184839892,19,13681.273060756974,0.0,4772.086761625058,10068.073372265375,1
57,Indépendant,2502.4368161227317,39,20013.25456493914,10054.196100077097,3882.524360389559,26413.094098470585,0
41,Sans emploi,2849.5505357970796,9,10608.64963163317,6468.732062300583,2081.7776791045426,15829.376860913884,1
20,CDI,3452.517019829073,29,19809.783097776894,2746.5005340990274,6542.585758241904,36173.36875880464,0
39,CDI,3259.643308353059,34,16162.974541139081,8523.496479794503,5127.711024137098,49480.46100475376,0
19,Indépendant,1312.0816252400773,24,13901.247520786355,5045.471225432785,10362.262566399282,68963.75104058645,1
41,CDD,800.0,11,2130.5894246779008,9803.105014603074,1902.9654848671735,35071.00368209475,1
61,Indépendant,3247.455928991419,38,13728.11612097225,10830.505319290016,6875.894576698973,39689.58244229306,0
47,CDI,1406.4970412676632,54,16067.265096399053,5192.663348046233,4752.0605959200775,21010.239850588085,1
55,Indépendant,2320.187678485853,45,19143.547176099586,7050.875275638696,11299.275194979673,21939.34838667683,0
19,CDI,1563.9095791525124,24,22804.748995495338,8859.58301535288,6646.9157511844005,49260.84369811409,1
38,CDI,1058.4156499359842,58,25175.163506829555,2371.8311458302996,5974.065744905253,25855.08299779833,1
50,CDI,2933.17018256383,6,21231.33671561492,8859.230091508065,4759.692695078541,31094.210679086736,0
29,Indépendant,3107.3241282421177,10,12189.548373479029,2275.9254076824172,2890.6368360031415,48344.63505192502,0
39,CDD,2038.7916794186244,32,13475.979552411305,10262.867918211477,5934.178377922791,25970.592421701156,0
61,CDD,800.0,21,18694.577355218415,6259.345349487203,853.0921725897142,52506.30656532223,1
42,CDI,2063.004441398014,11,17598.072299239007,2253.829063823062,991.1477342450871,38595.44004077108,1
44,Indépendant,2813.443204322037,45,23141.72979695681,5680.105603436703,8037.315310488486,36830.972564673226,0
59,CDI,1316.870744980697,18,27396.947093549556,5849.30167522623,0.0,20277.162793989843,1
45,Indépendant,2646.6879358233246,53,26335.900975491113,12274.083533547779,4041.279325127488,37636.88992575157,0
33,CDI,2487.7521206616034,40,22469.690998991726,8693.218797143176,1852.6205262231242,23564.310782006305,0
32,CDI,2963.4331996808705,24,17639.513244714486,4174.890169739469,3792.5879228310105,37041.13284293557,0
64,CDI,2595.6642947313226,17,21746.625314729223,14596.265148801947,5553.635907018039,28472.624013593566,0
61,CDI,1721.5448472947555,21,23307.20506864198,10505.961606042234,7953.665872892518,44502.14356476179,1
20,Indépendant,3457.257201331593,48,14263.498013724908,6654.710525681351,8652.900769198164,29523.43240804867,0
54,CDD,2373.176341578424,15,12336.695137456203,1784.6632572199105,2243.1403425235335,60567.86325355046,0
24,CDI,2478.1563683920544,30,11162.894999641627,6301.625682079226,3602.1141901197066,25866.79532406411,0
38,Indépendant,1753.3856327414433,25,10618.076332773482,7117.947661369318,17157.65036663587,21981.37856964735,1
26,CDI,2145.3741990467915,36,8090.023387034046,9476.129325801023,4249.955942193914,35191.70680201881,0
56,CDD,1792.1578287784791,9,16249.508545588636,10429.026038638622,2353.3676120122855,46168.0658374121,1
35,Sans emploi,2361.6431520612614,49,10001.235994559342,11226.32838164294,2852.597711775684,46051.47727240911,1
21,CDD,3869.366784113875,28,11082.38907932309,1554.1302766458111,4267.580251072009,32501.72166603746,0
42,CDI,1402.479085654915,7,18506.277795883634,8834.01928465297,3821.787911634622,35086.33741207178,1
31,Sans emploi,1209.150881698607,27,15908.045331267549,7361.5366990071525,4296.889630415391,35108.07086058635,1
26,CDD,3676.936261994887,56,17148.124703168374,18711.909104679515,4935.720338820308,13831.907795578121,1
43,CDI,2332.541058278507,42,21825.743809460408,8258.777756385483,4914.776413120507,45361.10162649145,0
19,CDI,1964.7418090720666,13,19322.649542703977,5509.387206154514,2133.5405081864183,11132.153518189989,1
37,Indépendant,3331.923749916861,12,22594.432907263315,8441.47542686766,6107.993063468393,13860.01986322812,1
45,CDD,2015.5075682105087,19,15399.882473890353,7965.726847956936,5363.140849642052,30825.406267821978,0
64,CDD,3960.807770837549,8,23058.952956561978,43.84277139593905,6489.7450116497785,25202.103987816874,0
24,Indépendant,3042.340697071415,55,16798.6838217873,9633.217853671349,0.0,41942.36099063174,1
61,Indépendant,2109.670873483438,21,15843.531305476015,6757.767637285672,5470.532731074434,36710.29009005271,0
25,CDI,4225.8465706124025,24,22307.631031382516,7893.235139357925,0.0,32073.020806060384,1
64,CDI,2015.4280615973294,56,10639.231604033524,4505.725864437767,4473.287316570259,13116.990060419244,0
52,CDI,3093.6762976074456,23,25118.002837712374,3624.343079151058,6973.808878259228,30398.401572951032,0
31,Indépendant,2739.4340643251935,57,13589.49989981357,11515.529336302581,8137.337454807096,29212.327963178755,0
34,CDI,3541.3930315190382,21,8909.460142253392,12433.826625771293,6003.380192291015,33332.80105353255,0
53,CDD,3749.208957381482,13,18267.50976027931,9672.39442174894,7026.172205878967,23549.429918585432,0
57,Indépendant,2525.6033192526133,38,13113.392449408697,756.8095977614621,4102.985113752622,37842.26306990314,0
21,Indépendant,1897.2657037230533,54,25129.035459556253,9932.253437045294,3472.4966902251135,24801.584434396995,1
19,CDI,2867.977714351293,17,12835.495906074264,816.2537946532557,13078.27448757118,36436.70197693668,0
23,Indépendant,1957.8277041983151,58,16572.24458675981,5355.297460686939,7481.480935595632,41940.713611286264,0
59,CDI,4110.709798021298,16,7872.033422609485,11462.233795028968,1481.0484456038198,21981.06752021439,0
21,Indépendant,2609.22826486619,10,19064.571224487358,10630.393926817966,0.0,18417.622947277723,1
46,CDI,2207.742758950313,32,11113.049620705477,9827.869458133879,3604.7916528092733,37145.49234704008,0
35,CDI,2647.7442446919267,17,18466.623451663007,13251.610615679136,8575.605518925995,10183.504789283557,1
43,Indépendant,1422.2989683762428,22,12858.273801470692,10240.060589631707,5146.217462086303,46674.97132338093,1
61,CDI,1722.7087691914787,11,4765.326566386002,0.0,0.0,30164.439256754624,1
51,CDI,3460.33112635554,38,15655.950451719418,6521.876614974561,4468.119730430277,28278.62397152452,0
27,Indépendant,1974.4845768228834,10,15432.142585392176,7833.566169075757,4992.795349254346,38190.238775268386,0
53,Indépendant,1662.4712138544483,33,19405.357868113068,7365.033092922511,0.0,37259.31780633145,1
31,CDD,2929.322202021829,19,22780.00285919602,5531.459299590442,5072.498456150571,30097.771124683608,0
48,CDD,3448.5633237303973,10,24562.04704958399,3879.3754661456214,1959.8959772260278,43179.24615902871,0
32,CDD,3075.1626485320535,59,19320.771067354428,17602.979877837275,0.0,19914.175419746218,1
25,CDI,3296.8381486446533,38,16393.095960329592,6445.020699176873,9813.522740496204,40685.34739940438,0
31,CDI,1894.5639291444313,55,7863.332052422674,17406.40821349781,1827.193397645216,13820.64792496387,0
40,CDI,1362.551466606525,53,16010.104684950036,3434.8383809757834,2998.1457936311563,37659.73486597701,1
57,Sans emploi,3701.0669215643893,46,16074.700849694664,10628.24027503603,2958.2513417999653,25081.900552995645,1
38,CDD,2241.8561289262916,24,14006.79870171986,8918.565665559478,5006.716252772908,10333.709064462135,1
33,CDI,2299.3335868359623,27,18164.838253004044,4312.201891739756,10298.931821167622,33849.64225716559,0
62,CDI,3562.5553134792463,10,20609.52855491067,6129.771560717265,1411.4393892922049,29483.602602739065,0
35,Sans emploi,2944.984007520528,7,10907.98034735658,7939.47972255612,4079.589456654215,6859.117357768071,1
64,CDI,2864.710217665286,35,10830.078229002665,4623.533531335497,5362.585637079194,0.0,1
41,CDD,4232.001875920867,52,14303.539941116855,6975.437623858294,2393.6247585214837,27716.042498737577,0
43,CDD,1985.1854156958857,44,11923.854046460385,0.0,4031.340786264181,54273.38941052741,0
42,CDD,3242.27210246499,9,6793.733988200685,10846.063961074957,6783.499420248672,34815.22512308866,0
62,CDI,2545.6104999176678,38,10017.036318385242,12908.606696491172,2732.885039880522,19975.451449283337,0
58,Indépendant,2714.8738230906056,18,8838.394264812796,9817.454829994636,3984.072473809462,46228.04273531785,0
46,Sans emploi,3722.774741130025,25,21042.252540090765,17057.032511751117,3705.9382192421426,43608.35426811838,1
32,CDD,2906.268605031699,59,23514.13503004639,10728.384910399573,4688.579956596988,49073.68616984079,0
62,CDD,2930.636863239706,12,9522.832713527067,12571.238555110238,5729.455143869727,40258.466465140606,0
18,Sans emploi,3358.0058698478415,20,17730.367565685556,12953.451330040443,6759.682304320636,43288.53484666812,1
42,Indépendant,2208.037816365692,28,19367.582122348755,0.0,10812.662905887013,40966.627965188454,0
24,CDI,1828.632266128795,19,7538.656066700681,9694.692794998253,0.0,22837.425788753586,1
26,CDD,1664.1526447831732,28,15804.894735894997,2468.2601987328753,4497.825982383675,5440.78890894607,1
41,CDD,926.9147284991986,24,27667.58082673263,3276.3861937167785,906.6917832734212,22182.969063104225,1
18,CDI,4144.965703952257,59,18385.734331788153,3972.1069127923406,3843.889998047287,46574.054655020314,0
61,Indépendant,1617.4333074226533,34,13773.497293337346,6749.136799930495,7642.601992082233,24284.837458581427,1
25,Sans emploi,2322.9971011313824,25,12199.067373908954,10601.839842950787,8593.377566427134,27818.11423338966,1
41,Sans emploi,2278.5493600888635,34,4887.692076395526,9735.959300026816,8734.143730455226,12513.226002803327,1
28,CDI,2745.9253582472807,29,17352.36828058366,7949.6744687296095,8705.877544551271,21733.656417611655,0
34,CDI,3152.589770031437,23,24739.083936271578,10890.733764823843,4478.194785138716,29863.66249824861,0
25,Sans emploi,3188.378790687796,15,10932.281228010397,11133.945286368411,9195.59082412149,37388.4326678813,1
52,Indépendant,2033.5380491448493,46,5322.076602414694,9770.496756933382,9790.549383817528,23120.085492365004,0
52,CDI,2366.302628970871,13,11678.879093233878,1101.9808557008564,5416.401363624531,22071.938615734514,0
50,Sans emploi,2726.0639603906397,31,19407.998729891042,5042.6688425731045,8531.70980470269,42632.63347723302,1
22,Indépendant,2301.047099053162,34,12857.499975889574,8105.311335770595,5123.711055549735,34878.99789657336,0
59,CDD,3785.876460815994,15,10897.659535434559,10933.811532564338,9230.697546652636,36730.086977882245,0
56,CDD,2892.779961310601,22,15095.774575289295,2685.6813691040534,4515.0102879093265,52924.80879102556,0
58,CDI,3087.9022288398537,7,16148.503735839275,7954.619240898879,3171.438554920446,22423.88417384464,0
45,CDI,3030.30501493393,11,8058.0492961415275,1737.502174442191,1640.0257091851504,29264.712442775475,0
24,CDI,3438.77908598826,10,13913.581515315882,12103.671942877112,4479.112900287048,38267.3966163472,0
26,Indépendant,2644.8172469629653,33,12513.661930388309,8969.389113458898,5253.164582984908,16927.389575129797,0
25,CDI,1462.5344416353228,46,11795.478253759586,2615.4558561762296,2162.4420158721387,33435.74607378178,1
29,CDI,2819.7503614021134,10,9914.81665304276,2589.0858487828273,4249.674623013024,30332.947458886505,0
51,CDI,1978.9144849665367,23,19706.289273973987,9549.72748633704,3420.3520717377023,71659.49117353685,0
50,CDD,2077.1066546001944,31,11778.06535600986,13499.195658252662,1769.0733610084735,31498.042524976103,0
40,Sans emploi,2969.0912150040745,25,5025.273570933574,3612.8566502026115,8107.65398466075,47354.09648346498,1
41,CDI,3490.6264571469087,46,16321.489109877168,11146.416434464309,8635.710809317354,42449.14820770264,0
54,CDI,2517.0172613888494,54,18625.99736336592,5831.049127888681,8094.298034876927,12651.575952885185,1
52,Indépendant,2747.066410079171,32,11019.919673920613,11292.776410771547,4747.532628135502,6767.642430589502,1
61,CDI,3861.77195570819,54,12201.686551080169,10732.763641461252,4932.851583824383,33705.21908049441,0
57,CDI,2692.6025435908546,17,11754.731397858137,8621.199365929759,1810.4799327819496,48860.01993220432,0
39,CDI,4581.346491344316,12,13266.733192849448,662.4347748776681,6243.898685724014,34318.722293447616,0
44,CDI,2952.4077165052354,8,20534.25091094911,10724.742600496453,5508.895118556862,31182.777060257617,0
52,CDI,1091.389792675346,15,14429.704138138219,10008.07708398746,13531.84218957704,25738.70020576125,1
18,CDI,3102.673296883626,39,19197.96772833603,9641.71901277801,8261.307086047229,10140.581301053939,1
52,CDI,2804.926707906222,30,10155.841842266236,8782.696252923914,5945.734779712563,15592.189236164817,0
54,Sans emploi,3531.8022032661966,40,13081.547902095079,4484.852446671568,4875.172067020027,5665.294667404531,1
64,CDI,3038.545081015967,21,19770.069079236535,12331.851084076447,8003.919611231677,13454.301013301229,1
31,CDD,2389.235212812981,7,10971.973007868703,11592.558883266543,2252.7839888584344,22109.876438559742,0
20,CDD,1520.5614109685075,29,20060.682304542654,3698.3088926213395,8418.913436042094,41640.24032275479,1
18,CDI,2332.7813941711797,15,11858.07954502431,13257.180042071006,1738.5694992881026,23323.991088066035,0
22,CDD,1819.5836366325598,43,13391.687424707903,8526.67773854155,3315.4284283558054,33834.38678324576,0
43,CDI,2035.5812401562218,27,23350.812936744624,8516.54781258069,0.0,32028.438167650227,1
31,Sans emploi,2970.8627235364875,31,12820.905114168843,7294.578654325269,6842.2286691472755,37485.732532244605,1
56,CDI,3835.9236034811247,48,15726.729013753175,7688.026413659777,5749.787078789568,14477.776027241118,1
44,CDI,2815.737223858385,44,18082.18211260868,13483.596753239079,3315.5509257019285,45887.90572685323,0
26,CDI,1543.2935503718525,32,16132.543248360056,12132.299938394062,2212.5836270725445,8892.345225696106,1
32,Sans emploi,2855.6821345761127,34,16275.266744447883,12047.38833455766,9136.166680100203,23282.80196420089,1
32,CDD,3457.305189316521,52,14717.301280091327,8738.257410181513,4599.188187190489,29686.418883351325,0
43,CDD,2012.1736765444944,43,8488.803954918385,11556.686894137585,2698.1138764382727,41402.17272224621,0
59,CDI,2392.7862666616656,25,16741.446650498794,4662.747703837713,10765.798890854074,50689.6400332613,0
30,Indépendant,2511.750555783358,32,11337.657714941728,10333.771913992266,3028.8112425748627,41520.472801925855,0
49,CDI,1872.0813495342081,46,18878.836087015883,7386.047872124131,8415.851214361357,51238.74536183788,0
56,Indépendant,3018.6243470750874,59,21860.307119748428,0.0,1547.0283079682795,17562.36105739043,1
49,CDI,2403.2414811137746,25,5972.213692914922,1655.5933647121465,3935.1613093790816,47855.55720106814,0
21,CDI,2835.625955125622,49,21869.03913713552,5348.08487964312,6506.87367614716,45279.85094869951,0
47,CDI,1790.0062577583199,24,12944.711040664783,9660.615937394841,4826.489151187924,0.0,1
54,CDI,2150.033359741272,25,14345.253889077636,5351.680846664123,5731.289064539158,26693.036341585856,0
40,CDD,3077.905086262217,40,10438.062737438051,5635.533050461165,3383.495461927986,39030.56135072674,0
56,CDI,2201.7334783265865,52,15942.338645331383,11053.043687499368,206.6115443012177,22268.79201831842,1
62,Indépendant,3881.571080986724,7,15334.074415887027,5779.9515222012515,9396.729153094131,13712.62241555645,1
32,CDI,2180.291051508318,35,20384.61412646425,13323.228968137644,3566.5148678777923,61712.62826912812,0
60,CDD,2679.7477806015086,58,11293.033616848714,12660.494959280539,5867.037366597016,31665.6022645636,0
46,CDI,3246.072665498472,39,23304.012009689544,8087.5252822852735,7105.872474896978,32076.081512310913,0
53,CDI,1365.3074136535747,27,18323.57043154445,11013.845806633315,5926.2746129341795,10365.088276874008,1
